created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 11 11:10:57 +0000 2023;1712063230087229548;"KH M Thoifur Mawardi berpesan agar Umat Islam Bersatu menciptakan pemilu damai, tidak saling menjelekkan, Umat Islam Bersatu memenangkan AMIN, Mas @aniesbaswedan dan Gus @cakimiNOW 🇮🇩💚  #HaqqulYaqinAMIN #AniesMuhaimin2024 https://t.co/wPCr3xSVpL";167;2941;3206;5657;in;68089986;1712063230087229548;voiceofpkb;https://twitter.com/voiceofpkb/status/1712063230087229548
Wed Oct 11 10:51:16 +0000 2023;1712058277641785382;"Ada AMIN, Mas @aniesbaswedan dan Gus @cakimiNOW Insya Allah tercipta Pemilu Damai, tidak ada pecah belah bangsa, tidak ada politik adu domba💚🇮🇩 #dawuhkiai   #HaqqulYaqinAMIN #AniesMuhaimin2024 https://t.co/cl9HPbEO5C";272;6147;4820;9334;in;68089986;1712058277641785382;voiceofpkb;https://twitter.com/voiceofpkb/status/1712058277641785382
Tue Oct 10 11:01:03 +0000 2023;1711698350616277324;"Ngambek lari ke KIM eh ga jdi Cawapres jugaan 🤣🤣 ke Koalisi PDIP ditolak daripada ga ikut Pemilu apa boleh buat, Taik Kambing rasa Coklat";8;57;20;319;in;78392421;1711698350616277324;GibraltarNc;https://twitter.com/GibraltarNc/status/1711698350616277324
Tue Oct 10 03:47:05 +0000 2023;1711589141518164189;"Israel, sejak 1947 merampas tanah2 Palestina. Saat ini wilayah yang dikuasai dan dikontrol Palestina, pemenang pemilu Hamas hanya tersisa 5%. LIMA PERSEN. Di GAZA strip. Lebar 5 km, panjang 80 km. Inipun diblokade, diisolasi, dibombardir.  *Israel-BIADAB https://t.co/SjDZlQWCF6";6;76;458;1127;in;83867535;1711589141518164189;tifsembiring;https://twitter.com/tifsembiring/status/1711589141518164189
Mon Oct 09 09:16:03 +0000 2023;1711309538929058228;"AMIN ini adalah barisan perubahan yang bukan hanya sekedar untuk target pemilu 2024, tapi untuk masa depan politik Ahlussunnah wal Jama’ah. Insyaalloh 3 generasi politik aswaja akan terjaga dan aman. AMIN..  #AniesMuhaimin2024 #GemaPerubahanAmin https://t.co/CRkRbNNbbw";189;3095;3844;7698;in;1490116879;1711309538929058228;cakimiNOW;https://twitter.com/cakimiNOW/status/1711309538929058228
Mon Oct 09 08:09:10 +0000 2023;1711292709196161514;"Mantan politisi PDI Perjuangan Cinta Mega yang ketahuan main judi slot saat rapat anggota DPRD DKI Jakarta, kembali maju sebagai bacaleg di pemilu 2024. Setelah dipecat oleh PDI Perjuangan, kali ini Cinta Mega maju nyaleg melalui Partai Amanat Nasional (PAN).   "Iya benar, yang… https://t.co/LrX4XdYwFV";132;191;335;1471;in;1162545299614662656;1711292709196161514;catchmeupid;https://twitter.com/catchmeupid/status/1711292709196161514
Mon Oct 09 03:48:14 +0000 2023;1711227043281875117;"Cak Imin  mendapatkan restu dari 1.200 kiai se-Malang raya untuk maju pemilu 2024 bersama Anies Baswedan. https://t.co/mHJF4tJ2Oc";15;168;549;1758;in;1490116879;1711227043281875117;cakimiNOW;https://twitter.com/cakimiNOW/status/1711227043281875117
Mon Oct 09 01:30:52 +0000 2023;1711192471647260672;"#intinyadeh ada org kalah pemilu RT di River Valley Bogor, trus bikin RT tandingan, isinya cuma kurleb 10KK, padahal min. 50KK  Bongkar TPS, ngalangin truk sampah pake Pajero, trus sampah yg dia kelola dibakar.  Ngatain warga lain rumahnya masih nyicil.  Warga udah muak dan demo.";283;568;1245;5865;in;1525880650829467648;1711192471647260672;intinyadeh;https://twitter.com/intinyadeh/status/1711192471647260672
Sun Oct 08 17:06:36 +0000 2023;1711065570320462050;"PKB Dipredikasi akan Menggeser PDIP di Posisi Pertama di Pemilu 2024 https://t.co/rJUWiSciQt";13;69;342;1069;in;887743587579944960;1711065570320462050;OposisiCerdas;https://twitter.com/OposisiCerdas/status/1711065570320462050
Sun Oct 08 15:31:34 +0000 2023;1711041652201341217;"Ketum PAN Zulhas: Pilkada DKI Jakarta 2017, Pemilu Terburuk https://t.co/8qVfhl57Zi";36;575;58;333;in;47596019;1711041652201341217;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1711041652201341217
Sun Oct 08 11:09:35 +0000 2023;1710975723979288651;"Zulhas Sebut Pilgub DKI 2017 Jakarta Zaman Anies Vs Ahok Terburuk Sepanjang Sejarah Pemilu https://t.co/nhMCPp4Yfx";57;555;42;314;in;55507370;1710975723979288651;tvOneNews;https://twitter.com/tvOneNews/status/1710975723979288651
Sun Oct 08 09:21:16 +0000 2023;1710948466678247653;"Ketum PAN, Zulkifli Hasan (Zulhas) pemilu yang terburuk sudah terlewati. Ia sebut pemilu yang terburuk waktu Pilkada DKI 2017 zamannya Anies Baswedan https://t.co/1kPSrajn2z";47;349;62;301;in;23343960;1710948466678247653;kompascom;https://twitter.com/kompascom/status/1710948466678247653
Sun Oct 08 04:59:11 +0000 2023;1710882508039135595;"Dalam acara Rapinas Solidaritas Ulama Muda Jokowi (Samawi) Presiden Jokowi mengajak para kiai, gus, anjengan yg hadir utk bersama² menjaga pemilu 2024 agar berjalan dgn baik, aman dan lancar dan mendapatkan pemimpin yg sesuai dgn keinginan rakyat  #SAMAWIJokowi https://t.co/BJ121mmmYb";6;51;64;185;in;1371089248170876929;1710882508039135595;lettachantik;https://twitter.com/lettachantik/status/1710882508039135595
